MEAN£¨ÈË¿ÚÃÜ¶È£©,rate
356.26,0.0000129884 
356.26,0.0000129884 
497.92,0.0000181532 
980.27,0.0000357387 
1139.39,0.0000415396 
1139.39,0.0000415396 
1139.39,0.0000415396 
1163.74,0.0000424274 
1352.80,0.0000493201 
1352.80,0.0000493201 
1369.84,0.0000499415 
1458.09,0.0000531589 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
221.90,0.0000080900 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
0.00,0.0000000000 
0.00,0.0000000000 
1108.11,0.0000403992 
1034.47,0.0000377147 
1039.15,0.0000378851 
1040.16,0.0000379218 
973.63,0.0000354963 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1417.94,0.0000516952 
2386.79,0.0000870174 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2146.30,0.0000782496 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1221.62,0.0000445377 
976.19,0.0000355897 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
879.05,0.0000320483 
892.89,0.0000325530 
910.37,0.0000331901 
935.65,0.0000341119 
998.67,0.0000364093 
1098.27,0.0000400407 
1111.77,0.0000405329 
1157.62,0.0000422044 
1254.03,0.0000457193 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1138.87,0.0000415208 
938.11,0.0000342016 
356.26,0.0000129884 
1291.22,0.0000470753 
1957.74,0.0000713749 
1957.80,0.0000713770 
1419.91,0.0000517670 
993.80,0.0000362320 
611.61,0.0000222980 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
362.55,0.0000132180 
965.16,0.0000351875 
1139.39,0.0000415396 
1139.39,0.0000415396 
1139.39,0.0000415396 
1139.39,0.0000415396 
1140.09,0.0000415652 
1331.05,0.0000485273 
1352.80,0.0000493201 
1352.80,0.0000493201 
1496.84,0.0000545715 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
329.09,0.0000119980 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1108.11,0.0000403992 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
907.10,0.0000330708 
978.64,0.0000356791 
1033.67,0.0000376855 
1008.42,0.0000367649 
981.96,0.0000358003 
1031.81,0.0000376175 
1040.16,0.0000379218 
1776.98,0.0000647850 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2147.01,0.0000782753 
1434.44,0.0000522967 
1257.96,0.0000458625 
1257.96,0.0000458625 
1256.96,0.0000458259 
1246.56,0.0000454467 
1241.97,0.0000452794 
1237.38,0.0000451121 
1240.73,0.0000452343 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1147.65,0.0000418407 
993.83,0.0000362331 
1030.33,0.0000375637 
1079.04,0.0000393395 
1103.43,0.0000402287 
1125.63,0.0000410379 
1194.39,0.0000435447 
1224.90,0.0000446571 
1224.90,0.0000446571 
1224.90,0.0000446571 
1224.90,0.0000446571 
1234.57,0.0000450098 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1232.54,0.0000449358 
898.44,0.0000327552 
1838.30,0.0000670206 
1957.80,0.0000713770 
1957.80,0.0000713770 
1957.79,0.0000713770 
1957.80,0.0000713770 
1868.21,0.0000681109 
1016.25,0.0000370504 
1254.01,0.0000457187 
1251.70,0.0000456344 
356.26,0.0000129884 
356.26,0.0000129884 
869.69,0.0000317072 
1139.39,0.0000415396 
1139.39,0.0000415396 
1139.39,0.0000415396 
1099.47,0.0000400844 
938.00,0.0000341973 
906.00,0.0000330308 
1316.62,0.0000480011 
1352.80,0.0000493201 
1352.80,0.0000493201 
1434.00,0.0000522807 
1479.73,0.0000539477 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
650.71,0.0000237234 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
0.00,0.0000000000 
0.00,0.0000000000 
1040.16,0.0000379218 
1040.16,0.0000379218 
1005.39,0.0000366542 
796.19,0.0000290273 
770.54,0.0000280922 
759.65,0.0000276953 
758.47,0.0000276521 
758.47,0.0000276521 
934.02,0.0000340524 
996.16,0.0000363180 
1596.02,0.0000581874 
1251.53,0.0000456280 
1613.59,0.0000588281 
2387.16,0.0000870308 
2387.16,0.0000870308 
2367.41,0.0000863106 
2357.99,0.0000859673 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2211.41,0.0000806231 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.91,0.0000458607 
1252.91,0.0000456784 
1210.06,0.0000441163 
1210.00,0.0000441141 
1210.00,0.0000441141 
1219.19,0.0000444490 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1255.66,0.0000457787 
1244.87,0.0000453854 
1204.34,0.0000439078 
1129.65,0.0000411848 
1129.65,0.0000411848 
1129.65,0.0000411848 
1129.65,0.0000411848 
1129.65,0.0000411848 
1181.26,0.0000430663 
1712.01,0.0000624163 
1224.90,0.0000446571 
1224.90,0.0000446571 
1224.90,0.0000446571 
1229.72,0.0000448328 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1259.97,0.0000459357 
1520.33,0.0000554279 
1957.79,0.0000713770 
1957.79,0.0000713770 
1957.80,0.0000713770 
1957.79,0.0000713770 
1957.80,0.0000713770 
1957.79,0.0000713770 
1957.79,0.0000713770 
